;Entity;Year;Cattle | Produced;Goat | Produced;Chicken | Produced;Turkey | Produced;Pig | Produced;Lamb and mutton | Produced;Meat, Total | tonnes;Game | tonnes;Duck | tonnes;Horse | tonnes;Camel | tonnes;Goose and guinea fowl | tonnes;Sheep and goat | tonnes;Beef and buffalo | tonnes;Pig | tonnes;Poultry | tonnes
58;Afghanistan;2019.0;651350.0;3593831.0;35041000.0;;;5235662.0;268273.0;8005.0;;;3644.0;;130387.0;98204.0;;28033.0
117;Africa;2019.0;39835532.0;130001610.0;4971427000.0;34789000.0;38353919.0;127620391.0;19985519.0;1149883.0;162353.0;17748.0;385555.0;27333.0;3284387.0;6348847.0;1592152.0;6849669.0
235;Albania;2019.0;310796.0;769849.0;10256000.0;203000.0;206967.0;1326594.0;85104.0;;;;;;24888.0;36709.0;10232.0;13127.0
294;Algeria;2019.0;662163.0;1855761.0;260222000.0;5285000.0;2802.0;16950170.0;799379.0;;;335.0;6485.0;;347657.0;151590.0;107.0;284653.0
412;Angola;2019.0;628753.0;1335867.0;54446000.0;;1955705.0;289798.0;329959.0;9367.0;;;;;25431.0;104312.0;141847.0;49002.0
471;Antigua and Barbuda;2019.0;376.0;170.0;13000.0;;1280.0;249.0;141.0;;;;;;7.0;60.0;58.0;16.0
530;Argentina;2019.0;13924936.0;1070229.0;756949000.0;6981000.0;6854854.0;2700000.0;6152457.0;50467.0;9687.0;24498.0;;535.0;61202.0;3135908.0;629717.0;2249238.0
558;Armenia;2019.0;532555.0;2307.0;11836000.0;;203907.0;625873.0;107335.0;;;;;;10735.0;68100.0;16100.0;12400.0
617;Asia;2019.0;93738457.0;336710155.0;32701524000.0;24925000.0;716634303.0;302962961.0;135122350.0;21128.0;4200727.0;372906.0;237705.0;2688969.0;9279073.0;19014344.0;54409796.0;50276132.0
735;Australia;2019.0;8704000.0;1456352.0;652754000.0;5446000.0;5316000.0;31816000.0;4818760.0;;16539.0;24496.0;;;752201.0;2351793.0;414470.0;1275800.0
794;Austria;2019.0;680530.0;67600.0;90702000.0;1390000.0;5085870.0;310000.0;871680.0;;520.0;120.0;;550.0;7860.0;229610.0;502030.0;131680.0
822;Azerbaijan;2019.0;1233500.0;;94911000.0;;9534.0;5842386.0;335719.0;;;;;;85300.0;137929.0;494.0;111996.0
881;Bahamas;2019.0;110.0;6215.0;5350000.0;;7153.0;2111.0;6921.0;;;;;;104.0;19.0;358.0;6440.0
940;Bangladesh;2019.0;2683600.0;31097337.0;291146000.0;;;702383.0;707246.0;;56277.0;;;;232279.0;198825.0;;259983.0
999;Barbados;2019.0;829.0;2127.0;9998000.0;31000.0;35908.0;2621.0;19554.0;;;;;;122.0;172.0;2840.0;16420.0
1027;Belarus;2019.0;1501470.0;;440558000.0;;5005322.0;76878.0;1152805.0;;2508.0;500.0;;;1200.0;328000.0;382800.0;439153.0
1047;Belgium;2019.0;837890.0;18220.0;295393000.0;728000.0;10720290.0;122380.0;1755460.0;;110.0;;;;3070.0;263750.0;1038990.0;447750.0
1145;Belize;2019.0;8539.0;79.0;12019000.0;45000.0;37852.0;1655.0;24501.0;;14.0;;;;35.0;1743.0;2060.0;20663.0
1204;Benin;2019.0;202667.0;606663.0;27322000.0;;227376.0;339330.0;82431.0;8178.0;;;;;9463.0;42942.0;6821.0;15027.0
1263;Bolivia;2019.0;1344995.0;345164.0;175841000.0;315000.0;2040766.0;1379530.0;931551.0;;2087.0;;;;37603.0;266499.0;117767.0;487843.0
1291;Bosnia and Herzegovina;2019.0;53605.0;0.0;42615000.0;7000.0;107967.0;91406.0;88187.0;;;9.0;;;1393.0;11802.0;7749.0;67234.0
1350;Botswana;2019.0;170000.0;346258.0;4629000.0;;9740.0;103815.0;71416.0;25724.0;;;;;5588.0;34000.0;388.0;3943.0
1409;Brazil;2019.0;32445850.0;3183909.0;5805315000.0;83156000.0;46356359.0;6173211.0;28578980.0;;6987.0;22731.0;;;135443.0;10200000.0;4125728.0;14093864.0
1517;Bulgaria;2019.0;119090.0;151590.0;51510000.0;;1235150.0;628660.0;222034.0;;19750.0;;;131.0;9360.0;18355.0;81590.0;108851.0
1576;Burkina Faso;2019.0;1205991.0;4988683.0;55178000.0;;1348979.0;2862437.0;259760.0;6707.0;;366.0;261.0;;57968.0;108745.0;40470.0;44143.0
1582;Burundi;2019.0;74594.0;784703.0;7283000.0;;134837.0;54225.0;42634.0;;;;;;10522.0;15080.0;9751.0;6555.0
1641;Cambodia;2019.0;455642.0;;17710000.0;;2043599.0;;182610.0;;10185.0;;;;;61755.0;92960.0;27895.0
